0105,2024-05-09 12:53:34,41056C65
010B,2024-05-09 12:53:38,410B6A69
010C,2024-05-09 12:53:41,410C17485F
010D,2024-05-09 12:53:45,410D1F20
010E,2024-05-09 12:53:48,410EFF01
010F,2024-05-09 12:53:52,410F5457
0110,2024-05-09 12:53:55,41100DC4D5
0111,2024-05-09 12:53:59,4111454A
0101,2024-05-09 12:54:02,410100000000F5
0103,2024-05-09 12:54:06,NO DATA
0104,2024-05-09 12:54:09,4104A098
0105,2024-05-09 12:54:13,41056B64
010B,2024-05-09 12:54:16,410BCBCA
010C,2024-05-09 12:54:20,410C213C5D
010D,2024-05-09 12:54:23,410D4A4B
010E,2024-05-09 12:54:27,410EFF01
010F,2024-05-09 12:54:30,410F5356
0110,2024-05-09 12:54:34,411004D4DC
0111,2024-05-09 12:54:37,41110005
0101,2024-05-09 12:54:41,410100000000F5
0103,2024-05-09 12:54:44,NO DATA
0104,2024-05-09 12:54:48,41043129
0105,2024-05-09 12:54:51,41056C65
010B,2024-05-09 12:54:55,410BC3C2
010C,2024-05-09 12:54:58,410C1F4463
010D,2024-05-09 12:55:02,410D4445
010E,2024-05-09 12:55:05,410EFF01
010F,2024-05-09 12:55:09,410F5457
0110,2024-05-09 12:55:12,411013788F
0111,2024-05-09 12:55:16,41116267
0101,2024-05-09 12:55:19,410100000000F5
0103,2024-05-09 12:55:23,NO DATA
0104,2024-05-09 12:55:26,41043E36
0105,2024-05-09 12:55:30,41056D66
010B,2024-05-09 12:55:33,410B7D7C
010C,2024-05-09 12:55:37,410C1ADCF6
010D,2024-05-09 12:55:41,410D3F40
010E,2024-05-09 12:55:44,410EFF01
010F,2024-05-09 12:55:48,410F4E51
0110,2024-05-09 12:55:51,41100D6A7B
0111,2024-05-09 12:55:55,41114E53
0101,2024-05-09 12:55:58,410100000000F5
0103,2024-05-09 12:56:02,NO DATA
0104,2024-05-09 12:56:05,41044F47
0105,2024-05-09 12:56:09,41056C65
010B,2024-05-09 12:56:12,410B7D7C
010C,2024-05-09 12:56:16,410C1B607B
010D,2024-05-09 12:56:19,410D4041
010E,2024-05-09 12:56:23,410EFF01
010F,2024-05-09 12:56:26,410F4C4F
0110,2024-05-09 12:56:30,411011283D
0111,2024-05-09 12:56:33,4111474C
0101,2024-05-09 12:56:37,410100000000F5
0103,2024-05-09 12:56:40,NO DATA
0104,2024-05-09 12:56:44,41042C24
0105,2024-05-09 12:56:47,41056D66
010B,2024-05-09 12:56:51,410B8382
010C,2024-05-09 12:56:54,410C18C8E0
010D,2024-05-09 12:56:58,410D3536
010E,2024-05-09 12:57:01,410EFF01
010F,2024-05-09 12:57:05,410F4A4D
0110,2024-05-09 12:57:08,4110096471
0111,2024-05-09 12:57:12,41119DA2
0101,2024-05-09 12:57:15,410100000000F5
0103,2024-05-09 12:57:19,NO DATA
0104,2024-05-09 12:57:22,41041109
0105,2024-05-09 12:57:26,41056D66
010B,2024-05-09 12:57:29,410B7F7E
010C,2024-05-09 12:57:33,410C1C3854
010D,2024-05-09 12:57:36,410D5051
010E,2024-05-09 12:57:40,410EFF01
010F,2024-05-09 12:57:43,410F4A4D
0110,2024-05-09 12:57:47,4110052C35
0111,2024-05-09 12:57:50,41110005
0101,2024-05-09 12:57:54,410100000000F5
0103,2024-05-09 12:57:57,NO DATA
0104,2024-05-09 12:58:01,4104C4BC
0105,2024-05-09 12:58:04,41056D66
010B,2024-05-09 12:58:08,410B6B6A
010C,2024-05-09 12:58:11,410C1294A6
010D,2024-05-09 12:58:15,410D2526
010E,2024-05-09 12:58:18,410EFF01
010F,2024-05-09 12:58:22,410F494C
0110,2024-05-09 12:58:25,41100C3E4E
0111,2024-05-09 12:58:29,4111969B
0101,2024-05-09 12:58:32,410100000000F5
0103,2024-05-09 12:58:36,NO DATA
0104,2024-05-09 12:58:39,4104877F
0105,2024-05-09 12:58:43,41056D66
010B,2024-05-09 12:58:46,410BCDCC
010C,2024-05-09 12:58:50,410C2498BC
010D,2024-05-09 12:58:53,410D6162
010E,2024-05-09 12:58:57,410EFF01
010F,2024-05-09 12:59:00,410F4A4D
0110,2024-05-09 12:59:04,4110051E27
0111,2024-05-09 12:59:07,41110005
0101,2024-05-09 12:59:11,410100000000F5
0103,2024-05-09 12:59:14,NO DATA
0104,2024-05-09 12:59:18,4104E8E0
0105,2024-05-09 12:59:21,41056D66
010B,2024-05-09 12:59:25,410BBCBB
010C,2024-05-09 12:59:28,410C247094
010D,2024-05-09 12:59:32,410D5D5E
010E,2024-05-09 12:59:35,410EFF01
010F,2024-05-09 12:59:39,410F4C4F
0110,2024-05-09 12:59:42,41100DD4E5
0111,2024-05-09 12:59:46,4111474C
0101,2024-05-09 12:59:49,410100000000F5
0103,2024-05-09 12:59:53,NO DATA
0104,2024-05-09 12:59:56,41046F67
0105,2024-05-09 13:00:00,41056F68
010B,2024-05-09 13:00:03,410BCECD
010C,2024-05-09 13:00:07,410C216C8D
010D,2024-05-09 13:00:10,410D5B5C
010E,2024-05-09 13:00:14,410EFF01
010F,2024-05-09 13:00:17,410F484B
0110,2024-05-09 13:00:21,4110052029
0111,2024-05-09 13:00:24,41110005
0101,2024-05-09 13:00:28,410100000000F5
